epoch,accuracy,learning_rate,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.7463369965553284,0.0010000000474974513,0.7672575116157532,0.9417843818664551,0.8730933666229248,0.36424046754837036,0.9841366410255432
1,0.843144953250885,0.0010000000474974513,0.441130667924881,0.9794610142707825,0.887736439704895,0.3347584009170532,0.9853569269180298
2,0.8614599704742432,0.0010000000474974513,0.3744077682495117,0.9852171540260315,0.8852959275245667,0.32764551043510437,0.9859670400619507
3,0.8795133233070374,0.0010000000474974513,0.3302435874938965,0.9892726540565491,0.9042099118232727,0.28561148047447205,0.9877974390983582
4,0.8967818021774292,0.0010000000474974513,0.2770914137363434,0.9913657903671265,0.903599739074707,0.284168541431427,0.9908480644226074
5,0.9027996063232422,0.0010000000474974513,0.256586492061615,0.9947671294212341,0.9060402512550354,0.2963419258594513,0.988407552242279
6,0.9035845398902893,0.0010000000474974513,0.2529451847076416,0.9922815561294556,0.9084807634353638,0.2935892641544342,0.9908480644226074
7,0.9094714522361755,0.0010000000474974513,0.24054624140262604,0.9937205910682678,0.9103111624717712,0.2782132625579834,0.9896278381347656
8,0.9140502214431763,0.0010000000474974513,0.21254192292690277,0.9954212307929993,0.9133617877960205,0.2805722951889038,0.9914581775665283
9,0.9237310290336609,0.0010000000474974513,0.20285840332508087,0.9955520629882812,0.9133617877960205,0.27343809604644775,0.988407552242279
10,0.9263474345207214,0.0010000000474974513,0.1908995509147644,0.9956828951835632,0.9206833243370056,0.27610665559768677,0.9908480644226074
11,0.930141270160675,0.0010000000474974513,0.1806212067604065,0.9968602657318115,0.9225137233734131,0.24929392337799072,0.992068350315094
12,0.9355049729347229,0.0010000000474974513,0.16325294971466064,0.9975143671035767,0.923123836517334,0.2600272595882416,0.9926784634590149
13,0.9370748400688171,0.0010000000474974513,0.1652604341506958,0.9976451992988586,0.9206833243370056,0.25464677810668945,0.9926784634590149
14,0.9383830428123474,0.0010000000474974513,0.1615733951330185,0.9980376958847046,0.9219036102294922,0.2575681805610657,0.9896278381347656
15,0.9542124271392822,0.0003000000142492354,0.11940906941890717,0.9982993006706238,0.9158022999763489,0.25031206011772156,0.9902379512786865
16,0.9570905566215515,0.0003000000142492354,0.11481725424528122,0.9981684684753418,0.926174521446228,0.2489306628704071,0.9902379512786865
17,0.9574829936027527,0.0003000000142492354,0.1105174645781517,0.9984301328659058,0.9286150336265564,0.23810620605945587,0.9914581775665283
18,0.9638932347297668,0.0003000000142492354,0.09482025355100632,0.9985609650611877,0.926174521446228,0.24576103687286377,0.9926784634590149
19,0.9614076614379883,0.0003000000142492354,0.09592467546463013,0.9989534020423889,0.9298352599143982,0.22654826939105988,0.992068350315094
