epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9611459970474243,9.999999747378752e-06,0.10237062722444534,0.9304453730583191,0.228255957365036
1,0.9641548991203308,9.999999747378752e-06,0.09487083554267883,0.9322757720947266,0.22711530327796936
2,0.9667713046073914,9.999999747378752e-06,0.08735138177871704,0.9322757720947266,0.2286330759525299
3,0.9667713046073914,9.999999747378752e-06,0.08194093406200409,0.9322757720947266,0.2299380600452423
4,0.9679487347602844,2.9999998787388904e-06,0.08126667141914368,0.9328858852386475,0.22963453829288483
5,0.9671638011932373,2.9999998787388904e-06,0.0875794067978859,0.934106171131134,0.22942911088466644
6,0.9703035354614258,8.999999749903509e-07,0.07820720225572586,0.9334960579872131,0.22968795895576477
7,0.9688644409179688,8.999999749903509e-07,0.08666031062602997,0.9316656589508057,0.22945545613765717
8,0.9710884094238281,2.699999868127634e-07,0.07682294398546219,0.9322757720947266,0.22951850295066833
9,0.9699110388755798,2.699999868127634e-07,0.07740514725446701,0.9328858852386475,0.22968073189258575
