epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9683411717414856,4.999999873689376e-06,0.08462175726890564,0.9322757720947266,0.22929298877716064
1,0.9703035354614258,4.999999873689376e-06,0.076809361577034,0.9334960579872131,0.2283918410539627
2,0.970565140247345,4.999999873689376e-06,0.07639822363853455,0.9322757720947266,0.228902205824852
3,0.9696493744850159,4.999999873689376e-06,0.0786961019039154,0.9353263974189758,0.22583886981010437
4,0.9712192416191101,4.999999873689376e-06,0.07419848442077637,0.9328858852386475,0.22761502861976624
5,0.9738357067108154,4.999999873689376e-06,0.073689766228199,0.9334960579872131,0.22801510989665985
6,0.9721350073814392,4.999999873689376e-06,0.07280363142490387,0.934106171131134,0.2273736149072647
7,0.9713500738143921,4.999999873689376e-06,0.07395211607217789,0.9359365701675415,0.22793124616146088
8,0.9712192416191101,1.4999999393694452e-06,0.0726788192987442,0.9359365701675415,0.22642813622951508
9,0.9726582765579224,1.4999999393694452e-06,0.07424252480268478,0.9365466833114624,0.2267111837863922
10,0.9691261053085327,1.4999999393694452e-06,0.07884730398654938,0.9359365701675415,0.22469229996204376
11,0.9720041751861572,1.4999999393694452e-06,0.07217530906200409,0.9353263974189758,0.2243799865245819
12,0.9718733429908752,1.4999999393694452e-06,0.07553257048130035,0.9353263974189758,0.22565682232379913
13,0.9689952731132507,1.4999999393694452e-06,0.08161880820989609,0.9365466833114624,0.2244958132505417
14,0.9742281436920166,1.4999999393694452e-06,0.06586239486932755,0.9365466833114624,0.22461193799972534
